Data collected on 04/27/2007 04:18:06 PM from an HP54600A at address 5.


Source=CHAN1,Source=CHAN1,Source=CHAN2,Source=CHAN2
Label=CHAN1,Label=CHAN1,Label=CHAN2,Label=CHAN2
Data=Horiz,Data=Vert,Data=Horiz,Data=Vert
Units=s,Units=V,Units=s,Units=V
+5.780000E-04,+2.843750E+00,+5.780000E-04,+2.500000E-01
+5.800000E-04,+2.968750E+00,+5.800000E-04,+1.875000E-01
+5.820000E-04,+2.968750E+00,+5.820000E-04,+1.875000E-01
+5.840000E-04,+3.000000E+00,+5.840000E-04,+1.250000E-01
+5.860000E-04,+3.031250E+00,+5.860000E-04,+3.750000E-01
+5.880000E-04,+0.000000E+00,+5.880000E-04,+1.875000E-01
+5.900000E-04,+2.500000E+00,+5.900000E-04,+1.875000E-01
+5.920000E-04,+2.968750E+00,+5.920000E-04,+1.250000E-01
+5.940000E-04,+3.000000E+00,+5.940000E-04,+1.875000E-01
+5.960000E-04,+3.031250E+00,+5.960000E-04,+1.250000E-01
+5.980000E-04,+3.031250E+00,+5.980000E-04,+1.250000E-01
+6.000000E-04,-3.125000E-02,+6.000000E-04,+3.375000E+00
+6.020000E-04,+2.531250E+00,+6.020000E-04,+2.500000E+00
+6.040000E-04,+2.906250E+00,+6.040000E-04,+1.937500E+00
+6.060000E-04,+3.000000E+00,+6.060000E-04,+1.625000E+00
+6.080000E-04,+2.968750E+00,+6.080000E-04,+1.062500E+00
+6.100000E-04,+3.000000E+00,+6.100000E-04,+6.250000E-01
+6.120000E-04,+3.031250E+00,+6.120000E-04,-1.250000E-01
+6.140000E-04,+6.250000E-01,+6.140000E-04,+1.875000E-01
+6.160000E-04,+2.750000E+00,+6.160000E-04,+1.875000E-01
+6.180000E-04,+3.000000E+00,+6.180000E-04,+1.250000E-01
+6.200000E-04,+3.031250E+00,+6.200000E-04,+1.250000E-01
+6.220000E-04,+3.000000E+00,+6.220000E-04,+1.250000E-01
+6.240000E-04,+3.000000E+00,+6.240000E-04,+1.250000E-01
+6.260000E-04,-3.125000E-02,+6.260000E-04,+1.875000E-01
+6.280000E-04,+2.625000E+00,+6.280000E-04,+2.500000E-01
+6.300000E-04,+2.968750E+00,+6.300000E-04,+2.500000E-01
